package Sundance::rurban::2022; # -*- perl -*-
#!/usr/bin/perl
# Sundance 2022 Critics Ratings
# {'A+' => 10,  'A' => 9,   'A-' => 8,
#  'B+' => 7,   'B' => 6,   'B-' => 5,
#  'C+' => 4,   'C' => 3,   'C-' => 2,
#  'D+' => 1.5, 'D' => 1,   'D-' => 1,
#  'E+' => 0.5, 'E' => 0.5, 'E-' => 0.5,
#  'F+' => 0,   'F' => 0,   'F-' => 0};
# SLCWeekly: 0-4stars:
# 0.5 - 1.25, 1 - 2.5, 1.5 - 3.75, 2 -> 5, 2.5 - 6.25, 3 - 7.5, 3.5 - 8.75, 4 - 10

use utf8;
our $DATA= <<'EOF';

U.S. DRAMATIC COMPETITION

"892" (Abi Damaris Corbin) [U.S. Dramatic]
Peter Bradshaw    6    https://www.theguardian.com/film/2022/jan/21/892-review-john-boyega-holds-together-by-the-book-hostage-drama
Tim Grierson            https://www.screendaily.com/reviews/892-sundance-review/5166766.article
#letterboxd
KumailA             10
HyperTrent          10   https://letterboxd.com/hypertrent/film/892/
cayt                10
totallynotMD3       10
ashleyfutterman     10
mjfilms             10
Anna                10
Curtis Cauffman     10
Jakhi               10
spacecatz           10
Joey Gentile        10
Aaron Washing       10
elizabethpage99     10
Zhane               10   https://letterboxd.com/zahanemf/film/892/
andwele             10
Bryce               10
John V.             9   https://letterboxd.com/johnviveiros/film/892/
Pramit              9   https://letterboxd.com/pramitheus/film/892/
S_N                 9
1001 FILMS          9   https://letterboxd.com/1001films/film/892/
Grady               9
ChefPablo           9
AliceTM             9
Evan                9
TannerForbes        9   https://letterboxd.com/tannerforbes/film/892/
jbatiz12            9   https://letterboxd.com/jbatiz12/film/892/
mallietayl0r        9
Jonathan24986       9
FoxyRussian         9
Zach Rayman         9
Joey                9
Nesssss             9
patrickburley       9   https://letterboxd.com/patrickburley/film/892/
Kennedy             9   https://letterboxd.com/cheetahwolf/film/892/
Ryan O’Neal         9
nightsoff27         9
Recycle_Bin         9   https://letterboxd.com/recycle_bin/film/892/
pepto_bismuth       8
Smoores2000         8
Camden              8
amontero91          8
loquaciousmuse      8
Robert Lalonde      8   https://letterboxd.com/robertthunder/film/892/
Giovanna Torres     8   https://letterboxd.com/giotorres/film/892/
Jacob Mauceri       8   https://letterboxd.com/mauceri/film/892/
alerner             8
Ivan                8
Engelbert Rafferty  8
Josie Marie         8
FilmsWithEric       8   https://letterboxd.com/filmswitheric/film/892/
Andrea Asuaje       8   https://letterboxd.com/aasuaje/film/892/
🏌🏼‍♂️               8
allymb              8
Joshua Cagan        8
Ethan Johnson       8   https://letterboxd.com/123filmcritic/film/892/
NoOneThereSir       8
Cate Young          8
Jen                 8
Kristen Maldonado   8
zoë                 8
Hayden Koutras      8
taliyaa             8
Brianna Marie       8
j2tiger             8
Alex Marzoña        8
Kevin Falk          8
Josh                8
Soph Porter         8
DavidHatkoff        8
Adam Solomons       8
DannyKlain          8
thedrewdabides      8
cinecauserie        8
David Sullivan      8
Ian Wilder          8
Zach Pope           8
Diogo Brüggemann    8
judsonvoss          8
bzimm               8
hgcar02             8
Victoria Murphy     8
Orlan Harris        8
ahuff               8
thorntoncash        8   https://letterboxd.com/thornton_4/film/892/
Jed Wagman          8   https://letterboxd.com/filmaddict123/film/892/
Samuel Beasley      8
fisherking111       8   https://letterboxd.com/fisherking111/film/892/
Sean Lester         8
Marcus Wright       8
Anthony Benedict    8
Ari Isenberg        8
Ananda              8
Max Hart            8
Poppy Rose          8
Lucas               8
Alex Billington     8
Fyeahtalkies        8
Mark Treviño        8
Kelly               8
Adam Hursey         8
pho3b3              8
brookeburns         8
